interaction_id,lead_id,customer_id,advisor_id,channel,direction,interaction_at,duration_sec,notes
I0000051,L0000011,C005276,A0133,phone,inbound,2026-08-13T09:12:17,474,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000052,L0000011,C005276,A0133,whatsapp,outbound,2026-08-13T14:30:08,,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000053,L0000011,C005276,A0133,phone,outbound,2026-08-19T15:58:39,187,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000054,L0000011,C005276,A0133,phone,outbound,2026-08-20T15:22:17,104,"Satış tamamlandı. Müşteri memnun, referans olabileceğini söyledi."
I0000055,L0000012,C000226,A0091,showroom_visit,outbound,2026-03-18T14:02:26,510,"İlk temas. Müşteri BMW iX2 ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000056,L0000012,C000226,A0091,showroom_visit,outbound,2026-04-01T14:07:52,110,"Sözleşme imzalandı, kapora alındı. Teslimat planlandı. BMW iX2 eDrive20 M Sport."
I0000057,L0000013,C002946,A0072,email,outbound,2025-10-21T09:06:26,,"Cevap yok, sesli mesaj bırakıldı. MINI Cooper ilgisi web formundan."
I0000058,L0000013,C002946,A0072,whatsapp,inbound,2025-11-03T12:19:24,,"3 kez arandı, ulaşılamadı. Kayıt kapatıldı."
I0000059,L0000014,C004329,A0092,phone,outbound,2025-12-11T12:28:41,91,BMW iX2 için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
I0000060,L0000014,C004329,A0092,sms,outbound,2025-12-22T11:59:14,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000061,L0000014,C004329,A0092,showroom_visit,outbound,2025-12-22T14:39:42,598,"Kredi onayı çıkmadı, alım ertelendi."
I0000062,L0000015,C005996,A0013,whatsapp,outbound,2025-11-24T13:53:33,,"Müşteri Land Rover Range Rover Evoque ile ilgileniyor, P160 Dynamic SE donanımı soruldu. Fiyat bilgisi verildi, düşünecek."
I0000063,L0000015,C005996,A0013,email,outbound,2025-12-08T10:40:35,,"Teklif iletildi, %2 iskonto ile. Müşteri eşiyle değerlendirecek."
I0000064,L0000015,C005996,A0013,phone,outbound,2025-12-18T09:04:54,819,"Farklı bir segmente yöneldi, ihtiyaç değişti."
I0000065,L0000016,C003300,A0031,email,outbound,2026-06-29T14:02:47,,"Cevap yok, sesli mesaj bırakıldı. Land Rover Defender ilgisi web formundan."
I0000066,L0000016,C003300,A0031,whatsapp,outbound,2026-07-11T13:44:27,,"Satış tamamlandı. Müşteri memnun, referans olabileceğini söyledi."
I0000067,L0000017,C004278,A0013,whatsapp,outbound,2025-09-22T17:14:23,,"Mevcut aracını takasa vermek istiyor, MINI Cooper için değerleme talep etti."
I0000068,L0000017,C004278,A0013,whatsapp,inbound,2025-09-23T15:22:39,,"Müşteri geri dönüş yaptı, S Favoured yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000069,L0000017,C004278,A0013,phone,outbound,2025-09-25T10:12:12,555,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000070,L0000017,C004278,A0013,whatsapp,inbound,2025-09-29T13:10:18,,"Müşteri geri dönüş yaptı, S Favoured yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000071,L0000017,C004278,A0013,phone,inbound,2025-10-02T16:37:39,746,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000072,L0000017,C004278,A0013,whatsapp,inbound,2025-10-03T15:19:36,,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000073,L0000017,C004278,A0013,phone,inbound,2025-10-06T15:37:09,334,"Alımı ileri bir tarihe erteledi, 6 ay sonra tekrar aranacak."
I0000074,L0000018,C001670,A0032,phone,outbound,2025-06-10T16:23:37,262,"Cevap yok, sesli mesaj bırakıldı. Land Rover Range Rover ilgisi web formundan."
I0000075,L0000018,C001670,A0032,whatsapp,inbound,2025-06-14T14:15:25,,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000076,L0000018,C001670,A0032,phone,inbound,2025-06-14T14:24:19,75,"Whatsapp üzerinden görsel ve fiyat listesi paylaşıldı. Okundu, cevap bekleniyor."
I0000077,L0000018,C001670,A0032,email,inbound,2025-06-17T14:58:13,,"Kredi onayı çıkmadı, alım ertelendi."
I0000078,L0000019,C000703,A0041,whatsapp,outbound,2026-03-04T12:27:59,,"Müşteri MINI Countryman ile ilgileniyor, E Favoured donanımı soruldu. Fiyat bilgisi verildi, düşünecek."
I0000079,L0000019,C000703,A0041,phone,outbound,2026-05-04T09:11:39,607,"Fiyat konusunda tereddütlü. Finansman seçenekleri anlatıldı, hesaplama gönderilecek."
I0000080,L0000019,C000703,A0041,phone,inbound,2026-05-11T10:47:49,569,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000081,L0000019,C000703,A0041,email,inbound,2026-05-28T14:06:36,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000082,L0000020,C003626,A0072,phone,outbound,2025-10-17T15:24:50,658,"İlk temas. Müşteri MINI Cooper ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000083,L0000020,C003626,A0072,email,outbound,2025-12-05T15:35:46,,"Alımı ileri bir tarihe erteledi, 6 ay sonra tekrar aranacak."
I0000084,L0000021,C005693,A0052,sms,outbound,2025-11-13T14:48:23,,"Ulaşıldı. MINI Countryman için showroom randevusu teklif edildi, uygun günü bildirecek."
I0000085,L0000021,C005693,A0052,phone,inbound,2025-11-27T10:52:09,766,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000086,L0000021,C005693,A0052,phone,outbound,2025-12-06T12:32:31,486,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000087,L0000021,C005693,A0052,email,outbound,2025-12-06T13:40:04,,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000088,L0000021,C005693,A0052,showroom_visit,inbound,2025-12-08T14:40:01,889,"Showroom ziyareti. Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000089,L0000021,C005693,A0052,whatsapp,outbound,2025-12-08T16:13:12,,"Test sürüşü için tekrar arandı, bu hafta zamanı yok. Haftaya tekrar aranacak."
I0000090,L0000021,C005693,A0052,showroom_visit,outbound,2025-12-09T10:38:54,138,"Fiyatı yüksek buldu, bütçesini aşıyor. Şimdilik vazgeçti."
I0000091,L0000022,C004866,A0072,whatsapp,outbound,2026-08-24T11:57:45,,Land Rover Range Rover Sport için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
I0000092,L0000022,C004866,A0072,showroom_visit,outbound,2026-08-24T13:15:25,537,
I0000093,L0000022,C004866,A0072,phone,outbound,2026-08-26T09:56:42,163,"Müşteri geri dönüş yaptı, D300 Dynamic SE yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000094,L0000022,C004866,A0072,whatsapp,outbound,2026-08-26T14:50:00,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000095,L0000022,C004866,A0072,whatsapp,outbound,2026-08-27T18:29:00,,"Test sürüşü için tekrar arandı, bu hafta zamanı yok. Haftaya tekrar aranacak."
I0000096,L0000022,C004866,A0072,phone,inbound,2026-08-31T12:29:45,679,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000097,L0000023,C003049,A0084,showroom_visit,outbound,2024-11-07T15:51:56,148,"Müşteri MINI Cooper ile ilgileniyor, S Favoured donanımı soruldu. Fiyat bilgisi verildi, düşünecek."
I0000098,L0000023,C003049,A0084,showroom_visit,inbound,2024-11-13T14:12:40,630,"Test sürüşü sonrası görüşüldü, araçtan memnun kaldı. Renk ve donanım netleşti."
I0000099,L0000023,C003049,A0084,showroom_visit,outbound,2024-11-18T16:43:32,172,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000100,L0000023,C003049,A0084,sms,inbound,2024-11-20T12:46:25,,"Başka bayiden daha iyi teklif almış, oradan aldı."
I0000101,L8438347,C004759,A0051,phone,outbound,2026-05-13T16:17:15,363,"Mevcut aracını takasa vermek istiyor, BMW 2 Serisi Gran Coupe için değerleme talep etti."
I0000102,L0000024,C004759,A0051,whatsapp,outbound,2026-05-23T14:43:04,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000103,L0000024,C004759,A0051,phone,outbound,2026-05-28T13:56:35,345,"Müşteri geri dönüş yaptı, 218i M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000104,L0000024,C004759,A0051,whatsapp,outbound,2026-05-30T10:27:12,,"Whatsapp üzerinden görsel ve fiyat listesi paylaşıldı. Okundu, cevap bekleniyor."
I0000105,L0000024,C004759,A0051,showroom_visit,inbound,2026-06-04T11:35:16,571,"Showroom ziyareti. Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000106,L0000024,C004759,A0051,email,inbound,2026-06-11T16:51:48,,"Farklı bir segmente yöneldi, ihtiyaç değişti."
I0000107,L0000025,C002965,A0052,showroom_visit,outbound,2026-08-03T16:47:47,845,"Müşteri aradı, BMW 5 Serisi 520i M Sport için kampanya var mı diye sordu. Güncel liste paylaşıldı."
I0000108,L0000025,C002965,A0052,email,outbound,2026-08-04T13:33:19,,"Whatsapp üzerinden görsel ve fiyat listesi paylaşıldı. Okundu, cevap bekleniyor."
I0000109,L0000025,C002965,A0052,whatsapp,inbound,2026-08-07T10:21:14,,"Test sürüşü sonrası görüşüldü, araçtan memnun kaldı. Renk ve donanım netleşti."
I0000110,L0000025,C002965,A0052,whatsapp,outbound,2026-08-08T14:28:11,,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000111,L0000025,C002965,A0052,whatsapp,outbound,2026-08-10T11:47:45,,"Rakip markadan araç almış, konuyu kapattık."
I0000112,L0000026,C003565,A0033,email,outbound,2026-08-18T16:00:24,,"İlk temas. Müşteri BMW iX3 ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000113,L0000026,C003565,A0033,whatsapp,inbound,2026-08-26T13:11:38,,"Farklı bir segmente yöneldi, ihtiyaç değişti."
I0000114,L0000027,C002728,A0074,whatsapp,outbound,2025-02-22T15:27:39,,"Cevap yok, sesli mesaj bırakıldı. BMW iX2 ilgisi web formundan."
I0000115,L0000027,C002728,A0074,phone,outbound,2025-02-25T15:00:24,699,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000116,L0000027,C002728,A0074,phone,inbound,2025-02-25T16:02:47,362,"Teklif iletildi, %7 iskonto ile. Müşteri eşiyle değerlendirecek."
I0000117,L0000027,C002728,A0074,whatsapp,outbound,2025-02-26T14:57:08,,"Müşteri geri dönüş yaptı, eDrive20 M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000118,L0000027,C002728,A0074,sms,outbound,2025-02-26T16:21:04,,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000119,L0000027,C002728,A0074,showroom_visit,outbound,2025-02-28T09:51:31,230,"Sözleşme imzalandı, kapora alındı. Teslimat planlandı. BMW iX2 eDrive20 M Sport."
I0000120,L0000028,C000483,A0044,whatsapp,outbound,2024-12-05T16:45:23,,"Müşteri BMW i5 ile ilgileniyor, eDrive40 M Sport donanımı soruldu. Fiyat bilgisi verildi, düşünecek."
I0000121,L0000028,C000483,A0044,whatsapp,outbound,2024-12-16T11:56:28,,"Fiyat konusunda tereddütlü. Finansman seçenekleri anlatıldı, hesaplama gönderilecek."
I0000122,L0000028,C000483,A0044,phone,inbound,2024-12-16T15:55:38,895,"Test sürüşü için tekrar arandı, bu hafta zamanı yok. Haftaya tekrar aranacak."
I0000123,L0000028,C000483,A0044,showroom_visit,inbound,2024-12-17T11:20:32,66,Showroom ziyareti. Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000124,L0000028,C000483,A0044,phone,inbound,2024-12-23T12:28:16,367,"Rakip markadan araç almış, konuyu kapattık."
I0000125,L0000029,C002361,A0141,whatsapp,outbound,2026-02-16T14:07:40,,"İlk temas. Müşteri BMW 1 Serisi ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000126,L0000029,C002361,A0141,whatsapp,outbound,2026-02-19T13:22:23,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000127,L0000029,C002361,A0141,whatsapp,outbound,2026-02-19T15:02:40,,"Test sürüşü için tekrar arandı, bu hafta zamanı yok. Haftaya tekrar aranacak."
I0000128,L0000029,C002361,A0141,email,outbound,2026-02-21T16:02:46,,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000129,L0000029,C002361,A0141,email,outbound,2026-02-23T13:57:30,,"Müşteri geri dönüş yaptı, 118i M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000130,L0000029,C002361,A0141,email,inbound,2026-02-24T13:27:53,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000131,L0000029,C002361,A0141,phone,outbound,2026-03-09T15:13:30,89,"Rakip markadan araç almış, konuyu kapattık."
I0000132,L0000030,C000213,A0021,showroom_visit,outbound,2025-12-05T16:35:36,232,"İlk temas. Müşteri BMW X5 ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000133,L0000030,C000213,A0021,showroom_visit,outbound,2025-12-09T15:12:51,645,"Showroom ziyareti. Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000134,L0000030,C000213,A0021,whatsapp,inbound,2025-12-09T18:12:37,,
I0000135,L0000030,C000213,A0021,whatsapp,inbound,2025-12-16T12:56:09,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000136,L0000030,C000213,A0021,showroom_visit,inbound,2025-12-17T17:43:59,281,"3 kez arandı, ulaşılamadı. Kayıt kapatıldı."
I0000137,L0000031,C004860,A0064,whatsapp,outbound,2025-04-03T16:23:54,,"Cevap yok, sesli mesaj bırakıldı. BMW X2 ilgisi web formundan."
I0000138,L0000031,C004860,A0064,email,outbound,2025-04-10T14:43:42,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000139,L0000031,C004860,A0064,whatsapp,inbound,2025-04-15T14:22:23,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000140,L0000031,C004860,A0064,showroom_visit,outbound,2025-04-17T13:43:33,832,"Müşteri geri dönüş yaptı, sDrive20i M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000141,L0000031,C004860,A0064,phone,outbound,2025-04-19T13:48:41,384,
I0000142,L0000031,C004860,A0064,whatsapp,inbound,2025-04-21T12:14:58,,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000143,L0000031,C004860,A0064,email,inbound,2025-04-21T13:30:44,,"Sözleşme imzalandı, kapora alındı. Teslimat planlandı. BMW X2 sDrive20i M Sport."
I0000144,L0000032,C002192,A0014,phone,outbound,2026-03-07T10:02:53,680,"Müşteri aradı, MINI Cooper C Classic için kampanya var mı diye sordu. Güncel liste paylaşıldı."
I0000145,L0000032,C002192,A0014,phone,inbound,2026-03-10T13:39:41,717,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000146,L0000032,C002192,A0014,phone,inbound,2026-03-14T13:31:21,166,"Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000147,L0000032,C002192,A0014,showroom_visit,inbound,2026-03-19T12:44:25,700,"Farklı bir segmente yöneldi, ihtiyaç değişti."
I0000148,L0000033,C002077,A0134,email,outbound,2025-06-05T13:06:48,,"Ulaşıldı. BMW iX1 için showroom randevusu teklif edildi, uygun günü bildirecek."
I0000149,L0000033,C002077,A0134,whatsapp,outbound,2025-06-19T12:31:57,,"Müşteri geri dönüş yaptı, xDrive30 M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000150,L0000033,C002077,A0134,email,outbound,2025-06-23T18:28:40,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000151,L0000033,C002077,A0134,phone,outbound,2025-06-27T16:07:54,273,"Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000152,L0000033,C002077,A0134,whatsapp,inbound,2025-07-03T13:13:54,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000153,L0000033,C002077,A0134,whatsapp,inbound,2025-07-09T12:13:55,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000154,L0000033,C002077,A0134,phone,outbound,2025-07-12T13:25:29,617,"Mesajlara dönüş yapmıyor, kapatıldı."
I0000155,L0000034,C001311,A0062,whatsapp,outbound,2026-03-02T13:56:43,,MINI Cooper için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
I0000156,L0000034,C001311,A0062,showroom_visit,outbound,2026-03-09T18:51:59,592,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000157,L0000034,C001311,A0062,showroom_visit,inbound,2026-03-10T14:49:38,584,"Showroom ziyareti. Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000158,L0000034,C001311,A0062,email,inbound,2026-03-11T11:35:21,,"Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000159,L0000034,C001311,A0062,sms,inbound,2026-03-11T13:08:50,,"Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000160,L0000034,C001311,A0062,whatsapp,inbound,2026-03-13T17:24:28,,"Müşteri teklifi kabul etti, ödeme planı onaylandı. Plaka ve sigorta işlemleri başlatıldı."
I0000161,L0000035,C003668,A0053,email,outbound,2026-08-06T11:30:07,,BMW iX2 için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
I0000162,L0000035,C003668,A0053,email,inbound,2026-08-17T15:41:18,,"Müşteri geri dönüş yaptı, eDrive20 M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000163,L0000035,C003668,A0053,phone,inbound,2026-08-18T14:49:28,884,"Müşteri geri dönüş yaptı, eDrive20 M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000164,L0000035,C003668,A0053,whatsapp,outbound,2026-08-24T09:17:10,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
